,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
4332,BAW6896,AAL1011,1465729200.0,1465739880.0,KMIA,KLGA,B738,First: Breakfast / Economy: No meal,16.0,0.0,134.0
4333,AAL2050,,1465762200.0,1465768980.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4334,BAW6998,AAL2520,1465738440.0,1465749360.0,KMIA,KLGA,B738,First: Breakfast / Economy: No meal,16.0,0.0,134.0
4335,AAL2068,,1465755960.0,1465762440.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4336,BAW6898,AAL1064,1465744080.0,1465754760.0,KMIA,KLGA,B738,First: Lunch / Economy: No meal,16.0,0.0,134.0
4337,AAL2064,,1465746000.0,1465752960.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4338,AAL1910,,1465739700.0,1465746720.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4339,BAW5170,AAL310,1465754760.0,1465765380.0,KMIA,KLGA,B738,First: Lunch / Economy: No meal,16.0,0.0,134.0
4340,AAL2062,,1465732740.0,1465739640.0,KCLT,KLGA,A321,,0.0,12.0,176.0
4341,AAL2213,,1465731600.0,1465743900.0,KDFW,KLGA,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,134.0
4342,BAW1916,AAL88,1465761600.0,1465772220.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
4343,BAW7798,AAL2240,1465765080.0,1465775940.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
4344,AAL5066,JIA5066,1465766700.0,1465772880.0,KCLT,KLGA,CRJ9,,0.0,0.0,86.0
4345,WJA6741,GJS6263,1465761600.0,1465769220.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4346,SWA2193,,1465747800.0,1465755900.0,KATL,KLGA,B737,,0.0,0.0,143.0
4347,BAW6926,AAL2415,1465768740.0,1465779480.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
4348,WJA6405,ASQ5302,1465768500.0,1465776120.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4349,BAW6924,AAL1367,1465772700.0,1465783380.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
4350,WJA7014,ASQ5059,1465741800.0,1465748280.0,KCLT,KLGA,CRJ7,,9.0,0.0,56.0
4351,BAW7814,AAL2325,1465776000.0,1465786860.0,KMIA,KLGA,B738,First: Dinner / Economy: No meal,16.0,0.0,134.0
4352,WJA6805,FLG3862,1465776000.0,1465784100.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4353,BAW6931,AAL376,1465779000.0,1465789620.0,KMIA,KLGA,B738,First: Refreshments / Economy: No meal,16.0,0.0,134.0
4354,WJA6488,FLG3771,1465754220.0,1465761540.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4355,WJA6392,FLG3747,1465747200.0,1465754580.0,KCLT,KLGA,CRJ9,,0.0,12.0,64.0
4356,LAN8700,AAL2520,1465738440.0,1465749360.0,KMIA,KLGA,B738,First: No meal / Economy: No meal,16.0,0.0,134.0
4357,AAL1080,,1465741200.0,1465754100.0,KDFW,KLGA,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,134.0
4358,LAN8601,AAL1064,1465744080.0,1465754760.0,KMIA,KLGA,B738,First: No meal / Economy: No meal,16.0,0.0,134.0
4359,LNE6281,AAL1740,1465770900.0,1465777860.0,KCLT,KLGA,A321,Business: No meal / Economy: No meal,0.0,12.0,176.0
4360,LNE6248,COM5066,1465766700.0,1465772880.0,KCLT,KLGA,CRJ9,Economy: No meal,0.0,0.0,86.0
4361,LAN8208,AAL2415,1465768740.0,1465779480.0,KMIA,KLGA,B738,First: No meal / Economy: No meal,16.0,0.0,134.0
4362,AAL4442,RPA4442,1465766760.0,1465773120.0,KILM,KLGA,E170,,12.0,0.0,64.0
4363,SWA1245,,1465736400.0,1465744800.0,KATL,KLGA,B737,,0.0,0.0,143.0
4364,TAM2188,AAL2520,1465738440.0,1465749360.0,KMIA,KLGA,B738,,16.0,0.0,134.0
4365,TAM8374,AAL2325,1465776000.0,1465786860.0,KMIA,KLGA,B738,,16.0,0.0,134.0
4366,SWA5515,,1465727400.0,1465735200.0,KATL,KLGA,B737,,0.0,0.0,143.0
4367,TAM2045,AAL376,1465779000.0,1465789620.0,KMIA,KLGA,B738,,16.0,0.0,134.0
