,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3713,JBU1536,,1465411440.0,1465425240.0,MDST,KJFK,A321,,0.0,0.0,190.0
3714,AAL106,,1465401720.0,1465420200.0,KPHX,KJFK,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,134.0
3715,AAL2527,,1465414200.0,1465432200.0,KPHX,KJFK,B738,First: Lunch / Economy: Food for sale,16.0,0.0,134.0
3716,DAL42,,1465412400.0,1465421340.0,KATL,KJFK,MD88,First: Refreshments / Economy: No meal,16.0,0.0,133.0
3717,DAL556,,1465432500.0,1465445700.0,MDST,KJFK,B738,First: Dinner / Economy: Snack or brunch,16.0,0.0,144.0
3718,AAL1095,,1465425000.0,1465442640.0,KPHX,KJFK,B738,First: Dinner / Economy: Food for sale,16.0,0.0,134.0
3719,AAL1319,,1465448100.0,1465465560.0,KPHX,KJFK,B738,First: Refreshments / Economy: Food for sale,16.0,0.0,134.0
3720,DAL1272,,1465390800.0,1465408140.0,KPHX,KJFK,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,144.0
3721,DAL1709,,1465407900.0,1465425900.0,KPHX,KJFK,B739,First: Lunch / Economy: Food for sale,20.0,0.0,160.0
3722,BAW2273,,1465400400.0,1465428600.0,EGKK,KJFK,,First: Meal / Business: Meal / Economy: Meal,14.0,56.0,227.0
3723,DAL402,,1465407000.0,1465420440.0,MDST,KJFK,B738,First: Lunch / Economy: Snack or brunch,16.0,0.0,144.0
3724,DAL312,,1465380300.0,1465393800.0,MDST,KJFK,B738,First: Breakfast / Economy: Snack or brunch,16.0,0.0,144.0
3725,JBU136,,1465455540.0,1465472880.0,KPHX,KJFK,A320,,0.0,0.0,150.0
3726,UAE6850,JBU436,1465418700.0,1465432440.0,MDST,KJFK,A320,,0.0,0.0,150.0
3727,LOT6,,1465381500.0,1465414200.0,EPWA,KJFK,B788,"Economy: Dinner, Breakfast",0.0,0.0,250.0
3728,DAL2350,,1465387500.0,1465395420.0,KATL,KJFK,B738,First: Breakfast / Economy: Breakfast,16.0,0.0,144.0
3729,LOT26,,1465399500.0,1465432200.0,EPWA,KJFK,B788,"Economy: Dinner, Breakfast",0.0,0.0,250.0
3730,UAE6846,JBU36,1465377600.0,1465390860.0,MDST,KJFK,A320,,0.0,0.0,150.0
3731,KLM6893,DAL690,1465401540.0,1465412640.0,KMSY,KJFK,A319,First: Refreshments for sale / Economy: Refreshments for sale,12.0,0.0,114.0
3732,DAL997,,1465396440.0,1465404600.0,KATL,KJFK,B738,First: Lunch / Economy: Lunch,16.0,0.0,144.0
3733,AZA3374,DAL690,1465401540.0,1465412640.0,KMSY,KJFK,A319,,12.0,0.0,114.0
